Date,rsi_14,rsi_30,roc_5,roc_21,macd,macd_signal,macd_diff,sma_5,sma_10,sma_20,bb_upper,bb_lower,bb_width,bb_position,ret_lag_1,ret_lag_3,ret_lag_5,ret_lag_10,spy_qqq_ratio,spy_return
2015-02-23,67.5368367665138,62.86442514600597,0.6816702940659182,2.4793791649792807,2.2149846096995986,1.7342321535941962,0.4807524561054024,210.53400268554688,208.9740005493164,206.1,213.26419831660178,198.9358016833982,0.07202522880223884,0.8566349288534937,0.0060006181124983,9.52085688583626e-05,0.0041164111520626,-0.0027653409612474,1.946277306002496,-0.0001420127746486
2015-02-24,68.87430329934419,63.68437204743904,0.809098540433004,3.3370719115747938,2.304234990670068,1.8482327210093705,0.45600226966069735,210.8740020751953,209.69199981689454,206.4180000305176,213.9914771099266,198.8445229511086,0.07617486231965415,0.8559789956145809,-0.0001420127746486,-0.000713887363954,0.0015730852939983,-0.0044757876686271,1.9503683290480627,0.0028407311474565
2015-02-25,67.96960920759162,63.25096477072132,0.7138437943864969,3.0080350578575112,2.333543024522811,1.9452947817120587,0.3882482428107523,211.17400207519532,210.17400054931642,206.8625,214.56280547014617,199.16219452985385,0.07732697953367759,0.8095659582139925,0.0028407311474565,0.0060006181124983,9.52085688583626e-05,0.0106533383363289,1.9535678141394168,-0.0008497836639248
2015-02-26,66.65988766312631,62.63845531249809,0.666734538412915,4.261615446163006,2.3099690564641833,2.018229636662484,0.2917394198016994,211.45400390625,210.61900177001954,207.42450027465821,214.7097246556029,200.13927589371352,0.07280154630731858,0.7714744530381481,-0.0008497836639248,-0.0001420127746486,-0.000713887363954,0.0005802191315895,1.941403473686962,-0.001181306970807
2015-02-27,62.90067077667256,60.88194523362688,-0.2745700700493088,5.256322726363025,2.207738994864002,2.0561315083027876,0.15160748656121426,211.33800354003907,210.79300231933593,207.85800018310547,214.82289467808815,200.8931056881228,0.06933930829657586,0.7011518969183498,-0.001181306970807,0.0028407311474565,0.0060006181124983,0.0096168055071745,1.9433579400071999,-0.0034061936042734
2015-03-02,66.64285658226157,62.87151467621499,0.3693001062935395,4.950740001013777,2.2085818106760655,2.086621568777443,0.12196024189862253,211.49400329589844,211.01400299072264,208.48500061035156,214.502726682561,202.46727453814214,0.05944393814691044,0.7912233658324077,-0.0034061936042734,-0.0008497836639248,-0.0001420127746486,0.0041164111520626,1.9381057854848294,0.0063134995154938
2015-03-03,62.22148953626177,60.779641104851656,-0.32576481250151745,5.851089670346653,2.114670575856337,2.092231370193222,0.022439205663115303,211.3560028076172,211.11500244140626,208.94500045776368,214.24928320293762,203.64071771258975,0.052094520238925746,0.7050225038816719,0.0063134995154938,-0.001181306970807,0.0028407311474565,0.0015730852939983,1.9391934398000699,-0.0041040160075123
2015-03-04,57.98352298712622,58.71235978987869,-0.6615362297273034,4.115490111901048,1.9459974852893254,2.0629845932124424,-0.11698710792311706,211.0760009765625,211.1250015258789,209.2145004272461,214.19495475495356,204.23404609953863,0.04877202819827711,0.6019480586985304,-0.0041040160075123,-0.0034061936042734,-0.0008497836639248,9.52085688583626e-05,1.9384970183804742,-0.0042156091807146
2015-03-05,58.76519510275217,59.084419203003904,-0.43523424528982896,2.743609879149838,1.8100180487369357,2.0123912843173413,-0.20237323558040554,210.89200134277343,211.17300262451172,209.53450088500978,213.9381131926406,205.13088857737895,0.042934658336155,0.6050848444643552,-0.0042156091807146,0.0063134995154938,-0.001181306970807,-0.000713887363954,1.9372239312983692,0.0010940921419519
2015-03-06,46.71949770735489,52.75552862720214,-1.500049182177872,1.6857799091262449,1.4467285751325392,1.8992587424803808,-0.4525301673478417,210.26000061035157,210.79900207519532,209.6035011291504,213.83065455239807,205.37634770590273,0.04116494884114816,0.25119176919602937,0.0010940921419519,-0.0041040160075123,-0.0034061936042734,0.0060006181124983,1.9318498549981802,-0.0140644617477917
2015-03-09,49.93074424625483,54.229107273163855,-1.7123471808813902,1.0867482758722937,1.214217172135676,1.76225042841144,-0.5480332562757639,209.53399963378905,210.51400146484374,209.74400100708007,213.59276114201276,205.89524087214738,0.03738561531223166,0.3202017860028726,-0.0140644617477917,-0.0042156091807146,0.0063134995154938,-0.0001420127746486,1.9342740275638437,0.0041445812547062
2015-03-10,39.78231846327751,48.12608837559811,-2.9082983761155847,-0.27730835113403024,0.7485828666330576,1.5595169160557636,-0.810934049422706,208.30599975585938,209.83100128173828,209.7615005493164,213.51919766713036,206.00380343150243,0.036481822716088054,-0.13622807691310135,0.0041445812547062,0.0010940921419519,-0.0041040160075123,0.0028407311474565,1.9388951320537617,-0.0162219469807611
2015-03-11,38.58300845997586,47.34335368948734,-2.7255842857767965,-0.06353168143007727,0.3369485479696266,1.3150032424385363,-0.9780546944689097,207.16000061035157,209.11800079345704,209.64600067138673,213.87226738886477,205.4197339539087,0.04114762137143371,-0.10881163156421973,-0.0162219469807611,-0.0140644617477917,-0.0042156091807146,-0.0008497836639248,1.945580808795659,-0.0023416710778796
2015-03-12,47.76837664968761,51.74148528013023,-1.5965031374914427,0.14022946102482756,0.21801105245430108,1.0956048044416893,-0.8775937519873882,206.48800048828124,208.69000091552735,209.65450134277344,213.85951253218707,205.44949015335982,0.04093474445981592,0.19625583331514718,-0.0023416710778796,0.0041445812547062,0.0010940921419519,-0.001181306970807,1.957466919941405,0.01271396627636
